Year,Quarter,GEO,Products,Average_Price,VALUE
2017,1,Alberta,"Wheat flour, 2.5 kilograms",4.473333333333334,4215506
2017,1,Alberta,"White bread, 675 grams",2.893333333333333,4215506
2017,1,Alberta,"White rice, 2 kilograms",7.103333333333333,4215506
2017,1,Alberta,"White sugar, 2 kilograms",2.76,4215506
2017,1,Alberta,"Wieners, 400 grams",3.6333333333333333,4215506
2017,1,Alberta,"Yogurt, 500 grams",2.703333333333333,4215506
2017,2,Alberta,"Almonds, 200 grams",4.39,4224933
2017,2,Alberta,"Apple juice, 2 litres",2.873333333333333,4224933
2017,2,Alberta,"Apples, per kilogram",4.21,4224933
2017,2,Alberta,"Avocado, unit",2.0399999999999996,4224933
2017,2,Alberta,"Baby food, 128 millilitres",1.3366666666666667,4224933
2017,2,Alberta,"Bacon, 500 grams",6.093333333333334,4224933
2017,2,Alberta,"Bananas, per kilogram",1.72,4224933
2017,2,Alberta,"Block cheese, 500 grams",5.9433333333333325,4224933
2017,2,Alberta,"Broccoli, unit",3.06,4224933
2017,2,Alberta,"Brown rice, 900 grams ",4.406666666666666,4224933
2017,2,Alberta,"Butter, 454 grams",4.5200000000000005,4224933
2017,2,Alberta,"Cabbage, per kilogram",2.4366666666666665,4224933
2017,2,Alberta,"Canned beans and lentils, 540 millilitres",1.1533333333333333,4224933
2017,2,Alberta,"Canned soup, 284 millilitres",1.4366666666666665,4224933
2017,2,Alberta,"Cantaloupe, unit",2.6766666666666663,4224933
2017,2,Alberta,"Celery, unit",2.32,4224933
2017,2,Alberta,"Cereal, 400 grams",3.3000000000000003,4224933
2017,2,Alberta,"Chicken breasts, per kilogram",13.503333333333332,4224933
2017,2,Alberta,"Cream, 1 litre",3.456666666666667,4224933
2017,2,Alberta,"Cucumber, unit",1.42,4224933
2017,2,Alberta,"Dry or fresh pasta, 500 grams",2.6166666666666667,4224933
2017,2,Alberta,"Eggs, 1 dozen",3.5500000000000003,4224933
2017,2,Alberta,"Flatbread and pita, 500 grams ",3.5066666666666664,4224933
2017,2,Alberta,"Grapes, per kilogram",7.340000000000001,4224933
2017,2,Alberta,"Ground beef, per kilogram",9.313333333333333,4224933
2017,2,Alberta,"Iceberg lettuce, unit",2.2966666666666664,4224933
2017,2,Alberta,"Infant formula, 900 grams ",28.546666666666667,4224933
2017,2,Alberta,"Ketchup, 1 litre",2.9966666666666666,4224933
2017,2,Alberta,"Lemons, unit",1.0966666666666667,4224933
2017,2,Alberta,"Limes, unit",0.5566666666666666,4224933
2017,2,Alberta,"Margarine, 907 grams",4.19,4224933
2017,2,Alberta,"Mayonnaise, 890 millilitres ",4.503333333333333,4224933
2017,2,Alberta,"Meatless burgers, 226 grams",4.16,4224933
2017,2,Alberta,"Milk, 4 litres",4.866666666666667,4224933
2017,2,Alberta,"Onions, per kilogram",3.1566666666666663,4224933
2017,2,Alberta,"Orange juice, 2 litres",3.926666666666667,4224933
2017,2,Alberta,"Oranges, per kilogram",3.82,4224933
2017,2,Alberta,"Pasta sauce, 650 millilitres",2.13,4224933
2017,2,Alberta,"Peanuts, 450 grams",3.3033333333333332,4224933
2017,2,Alberta,"Pears, per kilogram",4.076666666666667,4224933
2017,2,Alberta,"Peppers, per kilogram",6.593333333333334,4224933
2017,2,Alberta,"Pork loin cuts, per kilogram",11.020000000000001,4224933
2017,2,Alberta,"Potatoes, per kilogram",2.6366666666666667,4224933
2017,2,Alberta,"Roasted or ground coffee, 340 grams",5.193333333333333,4224933
2017,2,Alberta,"Salad dressing, 475 millilitres",2.433333333333333,4224933
2017,2,Alberta,"Salmon, per kilogram",23.286666666666665,4224933
2017,2,Alberta,"Salsa, 418 millilitres",3.2100000000000004,4224933
2017,2,Alberta,"Shrimp, 300 grams",7.553333333333334,4224933
2017,2,Alberta,"Squash, per kilogram",3.8200000000000003,4224933
2017,2,Alberta,Tea (20 bags),3.526666666666667,4224933
2017,2,Alberta,"Tofu, 350 grams ",2.0966666666666667,4224933
2017,2,Alberta,"Tomatoes, per kilogram",3.3733333333333335,4224933
2017,2,Alberta,"Vegetable oil, 3 litres",9.883333333333333,4224933
2017,2,Alberta,"Wheat flour, 2.5 kilograms",4.233333333333333,4224933
2017,2,Alberta,"White bread, 675 grams",2.9633333333333334,4224933
2017,2,Alberta,"White rice, 2 kilograms",7.046666666666667,4224933
2017,2,Alberta,"White sugar, 2 kilograms",3.143333333333333,4224933
2017,2,Alberta,"Wieners, 400 grams",3.723333333333333,4224933
2017,2,Alberta,"Yogurt, 500 grams",2.7466666666666666,4224933
2017,3,Alberta,"Almonds, 200 grams",4.233333333333333,4237310
2017,3,Alberta,"Apple juice, 2 litres",2.9566666666666666,4237310
2017,3,Alberta,"Apples, per kilogram",4.093333333333334,4237310
2017,3,Alberta,"Avocado, unit",2.026666666666667,4237310
2017,3,Alberta,"Baby food, 128 millilitres",1.2766666666666666,4237310
2017,3,Alberta,"Bacon, 500 grams",6.366666666666667,4237310
2017,3,Alberta,"Bananas, per kilogram",1.7133333333333332,4237310
2017,3,Alberta,"Block cheese, 500 grams",6.063333333333333,4237310
2017,3,Alberta,"Broccoli, unit",2.2066666666666666,4237310
2017,3,Alberta,"Brown rice, 900 grams ",4.406666666666666,4237310
2017,3,Alberta,"Butter, 454 grams",4.3566666666666665,4237310
2017,3,Alberta,"Cabbage, per kilogram",1.9766666666666666,4237310
2017,3,Alberta,"Canned beans and lentils, 540 millilitres",1.1633333333333333,4237310
2017,3,Alberta,"Canned soup, 284 millilitres",1.42,4237310
2017,3,Alberta,"Cantaloupe, unit",2.83,4237310
2017,3,Alberta,"Celery, unit",2.233333333333333,4237310
2017,3,Alberta,"Cereal, 400 grams",3.263333333333333,4237310
2017,3,Alberta,"Chicken breasts, per kilogram",13.273333333333333,4237310
2017,3,Alberta,"Cream, 1 litre",3.473333333333333,4237310
2017,3,Alberta,"Cucumber, unit",1.3800000000000001,4237310
2017,3,Alberta,"Dry or fresh pasta, 500 grams",2.533333333333333,4237310
2017,3,Alberta,"Eggs, 1 dozen",3.5933333333333337,4237310
2017,3,Alberta,"Flatbread and pita, 500 grams ",3.9299999999999997,4237310
2017,3,Alberta,"Grapes, per kilogram",6.156666666666666,4237310
2017,3,Alberta,"Ground beef, per kilogram",9.67,4237310
2017,3,Alberta,"Iceberg lettuce, unit",2.06,4237310
2017,3,Alberta,"Infant formula, 900 grams ",28.766666666666666,4237310
2017,3,Alberta,"Ketchup, 1 litre",3.0500000000000003,4237310
2017,3,Alberta,"Lemons, unit",0.9533333333333333,4237310
2017,3,Alberta,"Limes, unit",0.52,4237310
2017,3,Alberta,"Margarine, 907 grams",4.533333333333334,4237310
2017,3,Alberta,"Mayonnaise, 890 millilitres ",4.586666666666666,4237310
2017,3,Alberta,"Meatless burgers, 226 grams",4.156666666666667,4237310
2017,3,Alberta,"Milk, 4 litres",4.853333333333333,4237310
2017,3,Alberta,"Onions, per kilogram",3.3833333333333333,4237310
2017,3,Alberta,"Orange juice, 2 litres",3.97,4237310
2017,3,Alberta,"Oranges, per kilogram",3.7566666666666664,4237310
2017,3,Alberta,"Pasta sauce, 650 millilitres",2.17,4237310
2017,3,Alberta,"Peanuts, 450 grams",3.3766666666666665,4237310
2017,3,Alberta,"Pears, per kilogram",3.8033333333333332,4237310
2017,3,Alberta,"Peppers, per kilogram",5.626666666666666,4237310
2017,3,Alberta,"Pork loin cuts, per kilogram",9.083333333333334,4237310
2017,3,Alberta,"Potatoes, per kilogram",2.893333333333333,4237310
2017,3,Alberta,"Roasted or ground coffee, 340 grams",4.96,4237310
2017,3,Alberta,"Salad dressing, 475 millilitres",2.4933333333333336,4237310
2017,3,Alberta,"Salmon, per kilogram",19.973333333333333,4237310
2017,3,Alberta,"Salsa, 418 millilitres",3.3166666666666664,4237310
2017,3,Alberta,"Shrimp, 300 grams",7.5566666666666675,4237310
2017,3,Alberta,"Squash, per kilogram",4.003333333333333,4237310
2017,3,Alberta,Tea (20 bags),3.486666666666667,4237310
2017,3,Alberta,"Tofu, 350 grams ",1.9866666666666666,4237310
2017,3,Alberta,"Tomatoes, per kilogram",3.026666666666667,4237310
2017,3,Alberta,"Vegetable oil, 3 litres",10.093333333333334,4237310
2017,3,Alberta,"Wheat flour, 2.5 kilograms",4.406666666666666,4237310
2017,3,Alberta,"White bread, 675 grams",2.9966666666666666,4237310
2017,3,Alberta,"White rice, 2 kilograms",7.016666666666666,4237310
2017,3,Alberta,"White sugar, 2 kilograms",2.9966666666666666,4237310
2017,3,Alberta,"Wieners, 400 grams",3.5100000000000002,4237310
2017,3,Alberta,"Yogurt, 500 grams",2.78,4237310
2017,4,Alberta,"Almonds, 200 grams",4.31,4253530
2017,4,Alberta,"Apple juice, 2 litres",3.063333333333334,4253530
2017,4,Alberta,"Apples, per kilogram",3.5533333333333332,4253530
2017,4,Alberta,"Avocado, unit",1.6366666666666667,4253530
2017,4,Alberta,"Baby food, 128 millilitres",1.2733333333333334,4253530
2017,4,Alberta,"Bacon, 500 grams",5.8999999999999995,4253530
2017,4,Alberta,"Bananas, per kilogram",1.7133333333333332,4253530
2017,4,Alberta,"Block cheese, 500 grams",5.963333333333334,4253530
2017,4,Alberta,"Broccoli, unit",2.5166666666666666,4253530
2017,4,Alberta,"Brown rice, 900 grams ",4.38,4253530
2017,4,Alberta,"Butter, 454 grams",4.056666666666667,4253530
2017,4,Alberta,"Cabbage, per kilogram",1.6433333333333333,4253530
2017,4,Alberta,"Canned beans and lentils, 540 millilitres",1.2133333333333332,4253530
2017,4,Alberta,"Canned soup, 284 millilitres",1.3733333333333333,4253530
2017,4,Alberta,"Cantaloupe, unit",2.6966666666666668,4253530
2017,4,Alberta,"Celery, unit",1.8933333333333333,4253530
2017,4,Alberta,"Cereal, 400 grams",3.25,4253530
2017,4,Alberta,"Chicken breasts, per kilogram",14.446666666666667,4253530
2017,4,Alberta,"Cream, 1 litre",3.516666666666667,4253530
2017,4,Alberta,"Cucumber, unit",1.7599999999999998,4253530
2017,4,Alberta,"Dry or fresh pasta, 500 grams",2.513333333333333,4253530
2017,4,Alberta,"Eggs, 1 dozen",3.453333333333333,4253530
2017,4,Alberta,"Flatbread and pita, 500 grams ",3.8766666666666665,4253530
2017,4,Alberta,"Grapes, per kilogram",6.646666666666666,4253530
2017,4,Alberta,"Ground beef, per kilogram",9.243333333333334,4253530
2017,4,Alberta,"Iceberg lettuce, unit",2.1666666666666665,4253530
2017,4,Alberta,"Infant formula, 900 grams ",28.866666666666664,4253530
2017,4,Alberta,"Ketchup, 1 litre",3.2133333333333334,4253530
2017,4,Alberta,"Lemons, unit",1.0166666666666666,4253530
2017,4,Alberta,"Limes, unit",0.5233333333333333,4253530
2017,4,Alberta,"Margarine, 907 grams",4.34,4253530
2017,4,Alberta,"Mayonnaise, 890 millilitres ",4.586666666666667,4253530
2017,4,Alberta,"Meatless burgers, 226 grams",4.21,4253530
2017,4,Alberta,"Milk, 4 litres",4.863333333333333,4253530
2017,4,Alberta,"Onions, per kilogram",3.58,4253530
2017,4,Alberta,"Orange juice, 2 litres",4.006666666666667,4253530
2017,4,Alberta,"Oranges, per kilogram",3.4766666666666666,4253530
2017,4,Alberta,"Pasta sauce, 650 millilitres",2.22,4253530
2017,4,Alberta,"Peanuts, 450 grams",3.3833333333333333,4253530
2017,4,Alberta,"Pears, per kilogram",3.83,4253530
2017,4,Alberta,"Peppers, per kilogram",6.54,4253530
2017,4,Alberta,"Pork loin cuts, per kilogram",9.69,4253530
2017,4,Alberta,"Potatoes, per kilogram",2.77,4253530
2017,4,Alberta,"Roasted or ground coffee, 340 grams",5.046666666666667,4253530
2017,4,Alberta,"Salad dressing, 475 millilitres",2.48,4253530
2017,4,Alberta,"Salmon, per kilogram",21.31,4253530
2017,4,Alberta,"Salsa, 418 millilitres",3.3200000000000003,4253530
2017,4,Alberta,"Shrimp, 300 grams",7.7299999999999995,4253530
2017,4,Alberta,"Squash, per kilogram",2.92,4253530
2017,4,Alberta,Tea (20 bags),3.4466666666666668,4253530
2017,4,Alberta,"Tofu, 350 grams ",1.9966666666666668,4253530
2017,4,Alberta,"Tomatoes, per kilogram",4.126666666666666,4253530
2017,4,Alberta,"Vegetable oil, 3 litres",10.053333333333333,4253530
2017,4,Alberta,"Wheat flour, 2.5 kilograms",4.333333333333333,4253530
2017,4,Alberta,"White bread, 675 grams",2.9633333333333334,4253530
2017,4,Alberta,"White rice, 2 kilograms",7.329999999999999,4253530
2017,4,Alberta,"White sugar, 2 kilograms",2.956666666666667,4253530
2017,4,Alberta,"Wieners, 400 grams",3.516666666666667,4253530
2017,4,Alberta,"Yogurt, 500 grams",2.8066666666666666,4253530
2018,1,Alberta,"Almonds, 200 grams",4.266666666666667,4263957
2018,1,Alberta,"Apple juice, 2 litres",2.9633333333333334,4263957
2018,1,Alberta,"Apples, per kilogram",4.07,4263957
2018,1,Alberta,"Avocado, unit",1.5633333333333335,4263957
2018,1,Alberta,"Baby food, 128 millilitres",1.27,4263957
2018,1,Alberta,"Bacon, 500 grams",6.046666666666667,4263957
2018,1,Alberta,"Bananas, per kilogram",1.7366666666666666,4263957
2018,1,Alberta,"Block cheese, 500 grams",5.996666666666666,4263957
2018,1,Alberta,"Broccoli, unit",2.3333333333333335,4263957
2018,1,Alberta,"Brown rice, 900 grams ",4.44,4263957
2018,1,Alberta,"Butter, 454 grams",4.23,4263957
2018,1,Alberta,"Cabbage, per kilogram",1.9433333333333334,4263957
2018,1,Alberta,"Canned beans and lentils, 540 millilitres",1.2,4263957
2018,1,Alberta,"Canned soup, 284 millilitres",1.3133333333333332,4263957
2018,1,Alberta,"Cantaloupe, unit",2.6999999999999997,4263957
2018,1,Alberta,"Celery, unit",1.8866666666666667,4263957
2018,1,Alberta,"Cereal, 400 grams",3.1799999999999997,4263957
2018,1,Alberta,"Chicken breasts, per kilogram",13.493333333333334,4263957
2018,1,Alberta,"Cream, 1 litre",3.48,4263957
2018,1,Alberta,"Cucumber, unit",1.8866666666666667,4263957
2018,1,Alberta,"Dry or fresh pasta, 500 grams",2.3666666666666667,4263957
2018,1,Alberta,"Eggs, 1 dozen",3.486666666666667,4263957
2018,1,Alberta,"Flatbread and pita, 500 grams ",3.796666666666667,4263957
2018,1,Alberta,"Grapes, per kilogram",6.803333333333334,4263957
2018,1,Alberta,"Ground beef, per kilogram",9.12,4263957
2018,1,Alberta,"Iceberg lettuce, unit",2.0433333333333334,4263957
2018,1,Alberta,"Infant formula, 900 grams ",28.53333333333333,4263957
2018,1,Alberta,"Ketchup, 1 litre",3.3000000000000003,4263957
2018,1,Alberta,"Lemons, unit",1.1433333333333333,4263957
2018,1,Alberta,"Limes, unit",0.5533333333333333,4263957
2018,1,Alberta,"Margarine, 907 grams",4.33,4263957
2018,1,Alberta,"Mayonnaise, 890 millilitres ",4.613333333333333,4263957
2018,1,Alberta,"Meatless burgers, 226 grams",4.19,4263957
2018,1,Alberta,"Milk, 4 litres",4.8533333333333335,4263957
2018,1,Alberta,"Onions, per kilogram",3.3266666666666667,4263957
2018,1,Alberta,"Orange juice, 2 litres",3.9033333333333338,4263957
2018,1,Alberta,"Oranges, per kilogram",2.9966666666666666,4263957
2018,1,Alberta,"Pasta sauce, 650 millilitres",2.0833333333333335,4263957
2018,1,Alberta,"Peanuts, 450 grams",3.36,4263957
2018,1,Alberta,"Pears, per kilogram",3.6666666666666665,4263957
2018,1,Alberta,"Peppers, per kilogram",6.963333333333334,4263957
2018,1,Alberta,"Pork loin cuts, per kilogram",8.446666666666665,4263957
2018,1,Alberta,"Potatoes, per kilogram",2.9299999999999997,4263957
2018,1,Alberta,"Roasted or ground coffee, 340 grams",4.98,4263957
2018,1,Alberta,"Salad dressing, 475 millilitres",2.64,4263957
2018,1,Alberta,"Salmon, per kilogram",21.386666666666667,4263957
2018,1,Alberta,"Salsa, 418 millilitres",3.266666666666667,4263957
2018,1,Alberta,"Shrimp, 300 grams",7.57,4263957
2018,1,Alberta,"Squash, per kilogram",3.356666666666667,4263957
2018,1,Alberta,Tea (20 bags),3.56,4263957
2018,1,Alberta,"Tofu, 350 grams ",2.02,4263957
2018,1,Alberta,"Tomatoes, per kilogram",4.7,4263957
2018,1,Alberta,"Vegetable oil, 3 litres",8.503333333333332,4263957
2018,1,Alberta,"Wheat flour, 2.5 kilograms",4.5,4263957
2018,1,Alberta,"White bread, 675 grams",2.8833333333333333,4263957
2018,1,Alberta,"White rice, 2 kilograms",7.386666666666667,4263957
2018,1,Alberta,"White sugar, 2 kilograms",2.936666666666667,4263957
2018,1,Alberta,"Wieners, 400 grams",3.533333333333333,4263957
2018,1,Alberta,"Yogurt, 500 grams",2.76,4263957
2018,2,Alberta,"Almonds, 200 grams",4.88,4276444
2018,2,Alberta,"Apple juice, 2 litres",2.9466666666666668,4276444
2018,2,Alberta,"Apples, per kilogram",4.223333333333334,4276444
2018,2,Alberta,"Avocado, unit",1.5766666666666669,4276444
2018,2,Alberta,"Baby food, 128 millilitres",1.2666666666666666,4276444
2018,2,Alberta,"Bacon, 500 grams",5.859999999999999,4276444
2018,2,Alberta,"Bananas, per kilogram",1.7466666666666668,4276444
2018,2,Alberta,"Block cheese, 500 grams",6.036666666666666,4276444
2018,2,Alberta,"Broccoli, unit",2.5766666666666667,4276444
2018,2,Alberta,"Brown rice, 900 grams ",4.473333333333334,4276444
2018,2,Alberta,"Butter, 454 grams",4.1433333333333335,4276444
2018,2,Alberta,"Cabbage, per kilogram",2.2533333333333334,4276444
2018,2,Alberta,"Canned beans and lentils, 540 millilitres",1.2133333333333332,4276444
2018,2,Alberta,"Canned soup, 284 millilitres",1.4433333333333334,4276444
2018,2,Alberta,"Cantaloupe, unit",2.716666666666667,4276444
2018,2,Alberta,"Celery, unit",2.02,4276444
2018,2,Alberta,"Cereal, 400 grams",3.2266666666666666,4276444
2018,2,Alberta,"Chicken breasts, per kilogram",13.35,4276444
2018,2,Alberta,"Cream, 1 litre",3.49,4276444
2018,2,Alberta,"Cucumber, unit",1.47,4276444
2018,2,Alberta,"Dry or fresh pasta, 500 grams",2.513333333333333,4276444
2018,2,Alberta,"Eggs, 1 dozen",3.453333333333333,4276444
2018,2,Alberta,"Flatbread and pita, 500 grams ",3.7733333333333334,4276444
2018,2,Alberta,"Grapes, per kilogram",6.739999999999999,4276444
2018,2,Alberta,"Ground beef, per kilogram",9.63,4276444
2018,2,Alberta,"Iceberg lettuce, unit",2.1566666666666667,4276444
2018,2,Alberta,"Infant formula, 900 grams ",28.91,4276444
2018,2,Alberta,"Ketchup, 1 litre",3.2899999999999996,4276444
2018,2,Alberta,"Lemons, unit",1.07,4276444
2018,2,Alberta,"Limes, unit",0.5866666666666667,4276444
2018,2,Alberta,"Margarine, 907 grams",4.5,4276444
2018,2,Alberta,"Mayonnaise, 890 millilitres ",4.46,4276444
2018,2,Alberta,"Meatless burgers, 226 grams",4.286666666666666,4276444
2018,2,Alberta,"Milk, 4 litres",4.826666666666667,4276444
2018,2,Alberta,"Onions, per kilogram",3.0366666666666666,4276444
2018,2,Alberta,"Orange juice, 2 litres",3.8666666666666667,4276444
2018,2,Alberta,"Oranges, per kilogram",3.453333333333333,4276444
2018,2,Alberta,"Pasta sauce, 650 millilitres",2.0866666666666664,4276444
2018,2,Alberta,"Peanuts, 450 grams",3.35,4276444
2018,2,Alberta,"Pears, per kilogram",4.066666666666666,4276444
2018,2,Alberta,"Peppers, per kilogram",6.716666666666666,4276444
2018,2,Alberta,"Pork loin cuts, per kilogram",9.533333333333333,4276444
2018,2,Alberta,"Potatoes, per kilogram",2.9966666666666666,4276444
2018,2,Alberta,"Roasted or ground coffee, 340 grams",5.1433333333333335,4276444
2018,2,Alberta,"Salad dressing, 475 millilitres",2.3366666666666664,4276444
2018,2,Alberta,"Salmon, per kilogram",25.0,4276444
2018,2,Alberta,"Salsa, 418 millilitres",3.2399999999999998,4276444
2018,2,Alberta,"Shrimp, 300 grams",8.013333333333334,4276444
2018,2,Alberta,"Squash, per kilogram",3.6166666666666667,4276444
2018,2,Alberta,Tea (20 bags),3.67,4276444
2018,2,Alberta,"Tofu, 350 grams ",2.026666666666667,4276444
2018,2,Alberta,"Tomatoes, per kilogram",3.41,4276444
2018,2,Alberta,"Vegetable oil, 3 litres",8.976666666666667,4276444
2018,2,Alberta,"Wheat flour, 2.5 kilograms",4.586666666666667,4276444
2018,2,Alberta,"White bread, 675 grams",2.84,4276444
2018,2,Alberta,"White rice, 2 kilograms",7.2,4276444
2018,2,Alberta,"White sugar, 2 kilograms",2.99,4276444
2018,2,Alberta,"Wieners, 400 grams",3.626666666666667,4276444
2018,2,Alberta,"Yogurt, 500 grams",2.783333333333333,4276444
2018,3,Alberta,"Almonds, 200 grams",5.033333333333333,4292556
2018,3,Alberta,"Apple juice, 2 litres",2.9899999999999998,4292556
2018,3,Alberta,"Apples, per kilogram",4.03,4292556
2018,3,Alberta,"Avocado, unit",1.7333333333333334,4292556
2018,3,Alberta,"Baby food, 128 millilitres",1.2366666666666666,4292556
2018,3,Alberta,"Bacon, 500 grams",6.109999999999999,4292556
2018,3,Alberta,"Bananas, per kilogram",1.7299999999999998,4292556
2018,3,Alberta,"Block cheese, 500 grams",5.95,4292556
2018,3,Alberta,"Broccoli, unit",2.453333333333333,4292556
2018,3,Alberta,"Brown rice, 900 grams ",4.3966666666666665,4292556
2018,3,Alberta,"Butter, 454 grams",4.176666666666667,4292556
2018,3,Alberta,"Cabbage, per kilogram",2.07,4292556
2018,3,Alberta,"Canned beans and lentils, 540 millilitres",1.18,4292556
2018,3,Alberta,"Canned soup, 284 millilitres",1.3666666666666665,4292556
2018,3,Alberta,"Cantaloupe, unit",2.6333333333333333,4292556
2018,3,Alberta,"Celery, unit",2.1366666666666667,4292556
2018,3,Alberta,"Cereal, 400 grams",3.1833333333333336,4292556
2018,3,Alberta,"Chicken breasts, per kilogram",13.266666666666666,4292556
2018,3,Alberta,"Cream, 1 litre",3.64,4292556
2018,3,Alberta,"Cucumber, unit",1.5433333333333332,4292556
2018,3,Alberta,"Dry or fresh pasta, 500 grams",2.56,4292556
2018,3,Alberta,"Eggs, 1 dozen",3.516666666666667,4292556
2018,3,Alberta,"Flatbread and pita, 500 grams ",3.823333333333333,4292556
2018,3,Alberta,"Grapes, per kilogram",6.863333333333333,4292556
2018,3,Alberta,"Ground beef, per kilogram",9.076666666666666,4292556
2018,3,Alberta,"Iceberg lettuce, unit",2.1566666666666667,4292556
2018,3,Alberta,"Infant formula, 900 grams ",29.143333333333334,4292556
2018,3,Alberta,"Ketchup, 1 litre",3.1933333333333334,4292556
2018,3,Alberta,"Lemons, unit",0.8866666666666667,4292556
2018,3,Alberta,"Limes, unit",0.49666666666666665,4292556
2018,3,Alberta,"Margarine, 907 grams",4.6499999999999995,4292556
2018,3,Alberta,"Mayonnaise, 890 millilitres ",4.543333333333333,4292556
2018,3,Alberta,"Meatless burgers, 226 grams",4.21,4292556
2018,3,Alberta,"Milk, 4 litres",4.876666666666666,4292556
2018,3,Alberta,"Onions, per kilogram",3.2733333333333334,4292556
2018,3,Alberta,"Orange juice, 2 litres",3.983333333333333,4292556
2018,3,Alberta,"Oranges, per kilogram",3.6166666666666667,4292556
2018,3,Alberta,"Pasta sauce, 650 millilitres",2.1366666666666667,4292556
2018,3,Alberta,"Peanuts, 450 grams",3.3666666666666667,4292556
2018,3,Alberta,"Pears, per kilogram",3.8366666666666664,4292556
2018,3,Alberta,"Peppers, per kilogram",5.8933333333333335,4292556
2018,3,Alberta,"Pork loin cuts, per kilogram",9.323333333333332,4292556
2018,3,Alberta,"Potatoes, per kilogram",3.0366666666666666,4292556
2018,3,Alberta,"Roasted or ground coffee, 340 grams",5.086666666666667,4292556
2018,3,Alberta,"Salad dressing, 475 millilitres",2.3166666666666664,4292556
2018,3,Alberta,"Salmon, per kilogram",22.713333333333335,4292556
2018,3,Alberta,"Salsa, 418 millilitres",3.2133333333333334,4292556
2018,3,Alberta,"Shrimp, 300 grams",7.963333333333334,4292556
2018,3,Alberta,"Squash, per kilogram",3.6633333333333336,4292556
2018,3,Alberta,Tea (20 bags),3.6766666666666663,4292556
