"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-05","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","24.81","","","","2"
"2024-06","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","21.26","","","","2"
"2024-07","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","26.61","","","","2"
"2024-08","Newfoundland and Labrador","2016A000210","Beef top sirloin cuts, per kilogram","Dollars","81","units","0","v1159446978","1.3","23.84","","","","2"
"2017-01","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","24.63","","","","2"
"2017-02","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","24.87","","","","2"
"2017-03","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","25.12","","","","2"
"2017-04","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","18.99","","","","2"
"2017-05","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","25.65","","","","2"
"2017-06","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","18.74","","","","2"
"2017-07","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","26.86","","","","2"
"2017-08","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","17.90","","","","2"
"2017-09","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","21.12","","","","2"
"2017-10","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","15.91","","","","2"
"2017-11","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","25.64","","","","2"
"2017-12","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","13.62","","","","2"
"2018-01","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","25.80","","","","2"
"2018-02","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","24.91","","","","2"
"2018-03","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","15.68","","","","2"
"2018-04","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","26.54","","","","2"
"2018-05","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","20.49","","","","2"
"2018-06","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","17.04","","","","2"
"2018-07","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","18.66","","","","2"
"2018-08","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","17.70","","","","2"
"2018-09","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","24.19","","","","2"
"2018-10","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","15.54","","","","2"
"2018-11","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","23.70","","","","2"
"2018-12","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","15.76","","","","2"
"2019-01","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","19.92","","","","2"
"2019-02","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","22.13","","","","2"
"2019-03","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","27.09","","","","2"
"2019-04","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","17.18","","","","2"
"2019-05","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","20.51","","","","2"
"2019-06","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","18.33","","","","2"
"2019-07","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","18.29","","","","2"
"2019-08","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","27.14","","","","2"
"2019-09","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","27.94","","","","2"
"2019-10","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","14.35","","","","2"
"2019-11","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","19.51","","","","2"
"2019-12","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","15.48","","","","2"
"2020-01","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","19.29","","","","2"
"2020-02","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","22.65","","","","2"
"2020-03","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","29.25","","","","2"
"2020-04","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","18.46","","","","2"
"2020-05","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","22.86","","","","2"
"2020-06","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","26.62","","","","2"
"2020-07","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","20.49","","","","2"
"2020-08","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","22.29","","","","2"
"2020-09","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","30.86","","","","2"
"2020-10","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","27.32","","","","2"
"2020-11","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","31.26","","","","2"
"2020-12","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","18.41","","","","2"
"2021-01","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","25.29","","","","2"
"2021-02","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","21.18","","","","2"
"2021-03","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","19.24","","","","2"
"2021-04","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","20.89","","","","2"
"2021-05","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","28.43","","","","2"
"2021-06","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","29.95","","","","2"
"2021-07","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","33.86","","","","2"
"2021-08","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","33.24","","","","2"
"2021-09","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","31.27","","","","2"
"2021-10","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","22.95","","","","2"
"2021-11","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","31.16","","","","2"
"2021-12","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","33.27","","","","2"
"2022-01","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","31.34","","","","2"
"2022-02","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","33.91","","","","2"
"2022-03","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","33.74","","","","2"
"2022-04","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","35.47","","","","2"
"2022-05","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","21.99","","","","2"
"2022-06","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","26.27","","","","2"
"2022-07","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","27.64","","","","2"
"2022-08","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","26.57","","","","2"
"2022-09","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","32.85","","","","2"
"2022-10","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","21.88","","","","2"
"2022-11","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","28.93","","","","2"
"2022-12","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","23.35","","","","2"
"2023-01","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","31.95","","","","2"
"2023-02","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","33.84","","","","2"
"2023-03","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","26.17","","","","2"
"2023-04","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","25.45","","","","2"
"2023-05","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","27.16","","","","2"
"2023-06","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","27.05","","","","2"
"2023-07","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","36.22","","","","2"
"2023-08","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","28.37","","","","2"
"2023-09","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","32.33","","","","2"
"2023-10","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","25.55","","","","2"
"2023-11","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","25.91","","","","2"
"2023-12","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","29.92","","","","2"
"2024-01","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","37.06","","","","2"
"2024-02","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","36.90","","","","2"
"2024-03","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","28.01","","","","2"
"2024-04","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","36.97","","","","2"
"2024-05","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","27.37","","","","2"
"2024-06","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","25.03","","","","2"
"2024-07","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","32.03","","","","2"
"2024-08","Newfoundland and Labrador","2016A000210","Beef rib cuts, per kilogram","Dollars","81","units","0","v1353834348","1.41","32.38","","","","2"
"2017-01","Newfoundland and Labrador","2016A000210","Ground beef, per kilogram","Dollars","81","units","0","v1159446979","1.4","8.13","","","","2"
"2017-02","Newfoundland and Labrador","2016A000210","Ground beef, per kilogram","Dollars","81","units","0","v1159446979","1.4","7.91","","","","2"
"2017-03","Newfoundland and Labrador","2016A000210","Ground beef, per kilogram","Dollars","81","units","0","v1159446979","1.4","8.12","","","","2"
"2017-04","Newfoundland and Labrador","2016A000210","Ground beef, per kilogram","Dollars","81","units","0","v1159446979","1.4","8.67","","","","2"
"2017-05","Newfoundland and Labrador","2016A000210","Ground beef, per kilogram","Dollars","81","units","0","v1159446979","1.4","8.89","","","","2"
"2017-06","Newfoundland and Labrador","2016A000210","Ground beef, per kilogram","Dollars","81","units","0","v1159446979","1.4","8.98","","","","2"
"2017-07","Newfoundland and Labrador","2016A000210","Ground beef, per kilogram","Dollars","81","units","0","v1159446979","1.4","9.71","","","","2"
"2017-08","Newfoundland and Labrador","2016A000210","Ground beef, per kilogram","Dollars","81","units","0","v1159446979","1.4","9.35","","","","2"
"2017-09","Newfoundland and Labrador","2016A000210","Ground beef, per kilogram","Dollars","81","units","0","v1159446979","1.4","8.29","","","","2"
"2017-10","Newfoundland and Labrador","2016A000210","Ground beef, per kilogram","Dollars","81","units","0","v1159446979","1.4","8.07","","","","2"
"2017-11","Newfoundland and Labrador","2016A000210","Ground beef, per kilogram","Dollars","81","units","0","v1159446979","1.4","7.60","","","","2"
"2017-12","Newfoundland and Labrador","2016A000210","Ground beef, per kilogram","Dollars","81","units","0","v1159446979","1.4","7.79","","","","2"
"2018-01","Newfoundland and Labrador","2016A000210","Ground beef, per kilogram","Dollars","81","units","0","v1159446979","1.4","7.28","","","","2"
"2022-07","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.60","","","","2"
"2022-08","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.71","","","","2"
"2022-09","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.66","","","","2"
"2022-10","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.61","","","","2"
"2022-11","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.79","","","","2"
"2022-12","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.71","","","","2"
"2023-01","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.82","","","","2"
"2023-02","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.83","","","","2"
"2023-03","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.72","","","","2"
"2023-04","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.82","","","","2"
"2023-05","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.82","","","","2"
"2023-06","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.90","","","","2"
"2023-07","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.86","","","","2"
"2023-08","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.89","","","","2"
"2023-09","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.81","","","","2"
"2023-10","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.78","","","","2"
"2023-11","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.76","","","","2"
"2023-12","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.61","","","","2"
"2024-01","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.87","","","","2"
"2024-02","Saskatchewan","2016A000247","Crackers and crisp breads, 200 grams ","Dollars","81","units","0","v1458870176","8.91","2.85","","","","2"
