"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","543141","","","","0"
"2024-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","545247","","","","0"
"2017-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","147811","","","","0"
"2017-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","148354","","","","0"
"2017-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","149740","","","","0"
"2017-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","150595","","","","0"
"2018-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","150619","","","","0"
"2018-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","151008","","","","0"
"2018-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","152259","","","","0"
"2018-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","153906","","","","0"
"2019-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","153881","","","","0"
"2019-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","154409","","","","0"
"2019-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","155792","","","","0"
"2019-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","157025","","","","0"
"2020-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","157494","","","","0"
"2020-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","158401","","","","0"
"2020-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","159193","","","","0"
"2020-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","159179","","","","0"
"2021-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","159240","","","","0"
"2021-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","160334","","","","0"
"2021-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","162133","","","","0"
"2021-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","163728","","","","0"
"2022-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","164164","","","","0"
"2022-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","165574","","","","0"
"2022-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","167213","","","","0"
"2022-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","169032","","","","0"
"2023-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","170077","","","","0"
"2023-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","171856","","","","0"
"2023-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","173713","","","","0"
"2023-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","175871","","","","0"
"2024-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","176318","","","","0"
"2024-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","177318","","","","0"
"2024-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","178550","","","","0"
"2017-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","947023","","","","0"
"2017-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","948945","","","","0"
"2017-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","952159","","","","0"
"2017-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","956074","","","","0"
"2018-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","956711","","","","0"
"2018-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","957883","","","","0"
"2018-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","962072","","","","0"
"2018-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","967578","","","","0"
"2019-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","968724","","","","0"
"2019-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","970680","","","","0"
"2019-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","975799","","","","0"
"2019-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","982592","","","","0"
"2020-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","984130","","","","0"
"2020-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","986204","","","","0"
"2020-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","989168","","","","0"
"2020-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","989154","","","","0"
"2021-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","990025","","","","0"
"2021-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","993946","","","","0"
"2021-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","999908","","","","0"
"2021-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","1006758","","","","0"
"2022-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","1010529","","","","0"
"2022-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","1014733","","","","0"
"2022-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","1025263","","","","0"
"2022-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","1035163","","","","0"
"2023-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","1040187","","","","0"
"2023-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","1047129","","","","0"
"2023-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","1056486","","","","0"
"2023-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","1064297","","","","0"
"2024-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","1068120","","","","0"
"2024-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","1071498","","","","0"
"2024-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","1076374","","","","0"
"2017-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","764612","","","","0"
"2017-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","764859","","","","0"
"2017-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","766697","","","","0"
"2017-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","768029","","","","0"
"2018-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","768146","","","","0"
"2018-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","768707","","","","0"
"2018-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","770497","","","","0"
"2018-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","772793","","","","0"
"2019-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","773059","","","","0"
"2019-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","774277","","","","0"
"2019-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","777387","","","","0"
"2019-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","780907","","","","0"
"2020-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","781054","","","","0"
"2020-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","782512","","","","0"
"2020-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","783432","","","","0"
"2020-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","783814","","","","0"
"2021-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","784950","","","","0"
"2021-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","787002","","","","0"
"2021-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","790802","","","","0"
"2021-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","795732","","","","0"
"2022-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","798713","","","","0"
"2022-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","801756","","","","0"
"2022-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","809264","","","","0"
"2022-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","817173","","","","0"
"2023-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","820576","","","","0"
"2023-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","825417","","","","0"
"2023-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","832190","","","","0"
"2023-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","840578","","","","0"
"2024-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","844433","","","","0"
"2024-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","849168","","","","0"
"2024-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","854355","","","","0"
"2017-01","Quebec","2016A000224","Persons","249","units","0","v11","6","8252179","","","","0"
"2017-04","Quebec","2016A000224","Persons","249","units","0","v11","6","8265839","","","","0"
"2017-07","Quebec","2016A000224","Persons","249","units","0","v11","6","8292832","","","","0"
"2017-10","Quebec","2016A000224","Persons","249","units","0","v11","6","8326075","","","","0"
"2018-01","Quebec","2016A000224","Persons","249","units","0","v11","6","8338883","","","","0"
"2018-04","Quebec","2016A000224","Persons","249","units","0","v11","6","8354460","","","","0"
"2018-07","Quebec","2016A000224","Persons","249","units","0","v11","6","8386951","","","","0"
"2018-10","Quebec","2016A000224","Persons","249","units","0","v11","6","8418646","","","","0"
"2019-01","Quebec","2016A000224","Persons","249","units","0","v11","6","8430363","","","","0"
"2019-04","Quebec","2016A000224","Persons","249","units","0","v11","6","8447632","","","","0"
"2019-07","Quebec","2016A000224","Persons","249","units","0","v11","6","8483186","","","","0"
"2019-10","Quebec","2016A000224","Persons","249","units","0","v11","6","8521542","","","","0"
"2020-01","Quebec","2016A000224","Persons","249","units","0","v11","6","8537376","","","","0"
"2020-04","Quebec","2016A000224","Persons","249","units","0","v11","6","8550900","","","","0"
"2020-07","Quebec","2016A000224","Persons","249","units","0","v11","6","8551095","","","","0"
"2020-10","Quebec","2016A000224","Persons","249","units","0","v11","6","8551865","","","","0"
"2021-01","Quebec","2016A000224","Persons","249","units","0","v11","6","8550561","","","","0"
"2021-04","Quebec","2016A000224","Persons","249","units","0","v11","6","8556015","","","","0"
"2021-07","Quebec","2016A000224","Persons","249","units","0","v11","6","8572020","","","","0"
"2021-10","Quebec","2016A000224","Persons","249","units","0","v11","6","8603995","","","","0"
"2022-01","Quebec","2016A000224","Persons","249","units","0","v11","6","8616610","","","","0"
"2022-04","Quebec","2016A000224","Persons","249","units","0","v11","6","8630541","","","","0"
"2022-07","Quebec","2016A000224","Persons","249","units","0","v11","6","8673184","","","","0"
"2022-10","Quebec","2016A000224","Persons","249","units","0","v11","6","8727339","","","","0"
"2023-01","Quebec","2016A000224","Persons","249","units","0","v11","6","8762928","","","","0"
"2023-04","Quebec","2016A000224","Persons","249","units","0","v11","6","8796788","","","","0"
"2023-07","Quebec","2016A000224","Persons","249","units","0","v11","6","8848020","","","","0"
"2023-10","Quebec","2016A000224","Persons","249","units","0","v11","6","8918906","","","","0"
"2024-01","Quebec","2016A000224","Persons","249","units","0","v11","6","8956326","","","","0"
"2024-04","Quebec","2016A000224","Persons","249","units","0","v11","6","9003338","","","","0"
"2024-07","Quebec","2016A000224","Persons","249","units","0","v11","6","9056044","","","","0"
"2017-01","Ontario","2016A000235","Persons","249","units","0","v12","7","13975516","","","","0"
"2017-04","Ontario","2016A000235","Persons","249","units","0","v12","7","14012209","","","","0"
"2017-07","Ontario","2016A000235","Persons","249","units","0","v12","7","14078499","","","","0"
"2017-10","Ontario","2016A000235","Persons","249","units","0","v12","7","14161084","","","","0"
"2018-01","Ontario","2016A000235","Persons","249","units","0","v12","7","14199811","","","","0"
"2018-04","Ontario","2016A000235","Persons","249","units","0","v12","7","14251136","","","","0"
"2018-07","Ontario","2016A000235","Persons","249","units","0","v12","7","14326746","","","","0"
"2018-10","Ontario","2016A000235","Persons","249","units","0","v12","7","14413055","","","","0"
"2019-01","Ontario","2016A000235","Persons","249","units","0","v12","7","14449986","","","","0"
"2019-04","Ontario","2016A000235","Persons","249","units","0","v12","7","14493612","","","","0"
"2019-07","Ontario","2016A000235","Persons","249","units","0","v12","7","14573565","","","","0"
"2019-10","Ontario","2016A000235","Persons","249","units","0","v12","7","14666727","","","","0"
"2020-01","Ontario","2016A000235","Persons","249","units","0","v12","7","14718155","","","","0"
"2020-04","Ontario","2016A000235","Persons","249","units","0","v12","7","14752374","","","","0"
"2020-07","Ontario","2016A000235","Persons","249","units","0","v12","7","14761811","","","","0"
"2020-10","Ontario","2016A000235","Persons","249","units","0","v12","7","14757582","","","","0"
"2021-01","Ontario","2016A000235","Persons","249","units","0","v12","7","14772726","","","","0"
"2021-04","Ontario","2016A000235","Persons","249","units","0","v12","7","14808093","","","","0"
"2021-07","Ontario","2016A000235","Persons","249","units","0","v12","7","14842488","","","","0"
"2021-10","Ontario","2016A000235","Persons","249","units","0","v12","7","14938314","","","","0"
"2022-01","Ontario","2016A000235","Persons","249","units","0","v12","7","14995433","","","","0"
"2022-04","Ontario","2016A000235","Persons","249","units","0","v12","7","15042458","","","","0"
"2022-07","Ontario","2016A000235","Persons","249","units","0","v12","7","15141455","","","","0"
"2022-10","Ontario","2016A000235","Persons","249","units","0","v12","7","15289550","","","","0"
"2023-01","Ontario","2016A000235","Persons","249","units","0","v12","7","15402095","","","","0"
"2023-04","Ontario","2016A000235","Persons","249","units","0","v12","7","15478287","","","","0"
"2023-07","Ontario","2016A000235","Persons","249","units","0","v12","7","15623207","","","","0"
"2023-10","Ontario","2016A000235","Persons","249","units","0","v12","7","15818465","","","","0"
"2024-01","Ontario","2016A000235","Persons","249","units","0","v12","7","15944379","","","","0"
"2024-04","Ontario","2016A000235","Persons","249","units","0","v12","7","16033583","","","","0"
"2024-07","Ontario","2016A000235","Persons","249","units","0","v12","7","16124116","","","","0"
"2017-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1324044","","","","0"
"2017-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1328337","","","","0"
"2017-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1334734","","","","0"
"2017-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","1340426","","","","0"
"2018-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1344198","","","","0"
"2018-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1346916","","","","0"
"2018-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1352687","","","","0"
"2018-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","1357856","","","","0"
"2019-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1361737","","","","0"
"2019-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1364666","","","","0"
"2019-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1370033","","","","0"
"2019-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","1373884","","","","0"
"2020-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1377283","","","","0"
"2020-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1379280","","","","0"
"2020-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1380132","","","","0"
"2020-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","1381809","","","","0"
"2021-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1383854","","","","0"
"2021-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1388611","","","","0"
"2021-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1391924","","","","0"
"2021-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","1396162","","","","0"
"2022-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1399970","","","","0"
"2022-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1404199","","","","0"
"2022-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1412568","","","","0"
"2022-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","1423465","","","","0"
"2023-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1432984","","","","0"
"2023-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1444025","","","","0"
"2023-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1454743","","","","0"
"2023-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","1465035","","","","0"
"2024-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1475046","","","","0"
"2024-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1485955","","","","0"
"2024-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1494301","","","","0"
"2017-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1141537","","","","0"
"2017-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1143829","","","","0"
"2017-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1147315","","","","0"
"2017-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1151044","","","","0"
"2018-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1152366","","","","0"
"2018-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1153530","","","","0"
"2018-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1156210","","","","0"
"2018-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1159648","","","","0"
"2019-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1161529","","","","0"
"2019-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1161787","","","","0"
"2019-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1164223","","","","0"
"2019-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1167271","","","","0"
"2020-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1169426","","","","0"
"2020-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1169038","","","","0"
"2020-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1167386","","","","0"
"2020-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1165963","","","","0"
"2021-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1166348","","","","0"
"2021-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1167711","","","","0"
"2021-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1167711","","","","0"
"2021-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1168792","","","","0"
"2022-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1171007","","","","0"
"2022-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1173421","","","","0"
"2022-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1178455","","","","0"
"2022-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1187854","","","","0"
"2023-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1195464","","","","0"
"2023-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1201089","","","","0"
"2023-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1209307","","","","0"
"2023-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1219702","","","","0"
"2024-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1226848","","","","0"
"2024-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1233068","","","","0"
"2024-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1239865","","","","0"
"2017-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4215506","","","","0"
"2017-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4224933","","","","0"
"2017-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4237310","","","","0"
"2017-10","Alberta","2016A000248","Persons","249","units","0","v15","10","4253530","","","","0"
"2018-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4263957","","","","0"
"2018-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4276444","","","","0"
"2018-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4292556","","","","0"
"2018-10","Alberta","2016A000248","Persons","249","units","0","v15","10","4311439","","","","0"
"2019-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4324254","","","","0"
"2019-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4337569","","","","0"
"2019-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4355377","","","","0"
"2019-10","Alberta","2016A000248","Persons","249","units","0","v15","10","4376860","","","","0"
"2020-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4392958","","","","0"
"2020-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4405455","","","","0"
"2020-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4407495","","","","0"
"2020-10","Alberta","2016A000248","Persons","249","units","0","v15","10","4412013","","","","0"
"2021-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4418338","","","","0"
"2021-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4425617","","","","0"
"2021-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4431531","","","","0"
"2021-10","Alberta","2016A000248","Persons","249","units","0","v15","10","4449956","","","","0"
"2022-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4465137","","","","0"
"2022-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4480389","","","","0"
"2022-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4510747","","","","0"
"2022-10","Alberta","2016A000248","Persons","249","units","0","v15","10","4558643","","","","0"
"2023-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4595851","","","","0"
"2023-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4639399","","","","0"
"2023-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4684514","","","","0"
"2023-10","Alberta","2016A000248","Persons","249","units","0","v15","10","4744897","","","","0"
"2024-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4791876","","","","0"
"2024-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4842523","","","","0"
"2024-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4888723","","","","0"
"2017-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4894147","","","","0"
"2017-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4908971","","","","0"
"2017-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","4934202","","","","0"
"2017-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","4962706","","","","0"
"2018-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","4974712","","","","0"
"2018-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","4991716","","","","0"
